dataset,1NN-DTW,1NN-ED,BOSS,InceptionTime,MiniROCKET,MultiROCKET,MultiROCKETHydra,ROCKET,ST,TSF,catch22
Beef,0.5333333333333333,0.6166666666666667,0.75,0.21666666666666662,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.9,0.8333333333333334,0.8,0.6333333333333334
CBF,0.9989247311827956,0.9881720430107526,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9946236559139784
Chinatown,0.9668949771689498,0.9641171993911719,0.9586377473363775,0.9807458143074582,0.986263318112633,0.9890030441400304,0.9890030441400304,0.9834855403348554,0.9668949771689498,0.9807077625570777,0.9531202435312025
Computers,0.71,0.576,0.8320000000000001,0.8720000000000001,0.8320000000000001,0.884,0.8879999999999999,0.866,0.8099999999999999,0.77,0.792
ECG200,0.825,0.885,0.905,0.8099999999999999,0.9199999999999999,0.925,0.925,0.93,0.905,0.9,0.8150000000000001
EMOPain,0.9561635220125787,0.9486134934248142,,0.9697684391080618,0.9425700400228703,0.9327387078330475,0.9372727272727273,0.8541337907375643,0.861680960548885,0.9244225271583761,0.9138364779874214
Earthquakes,0.7331697054698457,0.713838242169238,0.7917484805984104,0.7895745675549322,0.7396914446002805,0.7787050023375409,0.7765310892940626,0.7982000935016363,0.7939223936418888,0.7961196820944366,0.783076203833567
EthanolLevel,0.2728855721393034,0.28186069651741297,0.5697313432835821,0.5559850746268656,0.7021691542288557,0.7689253731343284,0.7580099502487563,0.6663233830845771,0.8864825870646766,0.714134328358209,0.3974179104477612
MiddlePhalanxOutlineCorrect,0.7385788713828385,0.7990961019396146,0.7878789780930262,0.857416358044065,0.8597388738936665,0.8552256606616032,0.8664427845081916,0.8496202372732409,0.849588851923922,0.811461929571276,0.79686774213797
SwedishLeaf,0.8168888888888889,0.8293333333333333,0.9351111111111111,0.976,0.9777777777777779,0.9822222222222223,0.9857777777777779,0.9715555555555555,0.952,0.9164444444444445,0.8995555555555554
SyntheticControl,0.9916666666666666,0.9233333333333335,0.975,0.9966666666666667,0.9833333333333334,0.9983333333333334,0.9966666666666667,0.9983333333333334,0.9949999999999999,0.9883333333333333,0.99
Trace,1.0,0.82,1.0,0.89,1.0,1.0,1.0,1.0,1.0,1.0,1.0
TwoPatterns,1.0,0.9858,0.9996,1.0,0.9996,1.0,1.0,1.0,0.9986,0.9965999999999999,0.8766
Worms,0.6082202111613876,0.5117647058823529,0.7361236802413273,0.49170437405731515,0.7711915535444948,0.7710407239819005,0.786500754147813,0.7166666666666667,0.755656108597285,0.6744343891402715,0.7514328808446455
WormsTwoClass,0.7167420814479637,0.6472096530920061,0.8601055806938159,0.46900452488687777,0.7870286576168929,0.8101809954751132,0.814027149321267,0.7792609351432881,0.7828808446455505,0.732579185520362,0.8098793363499246
